,PolicyWasSubscribedOnInternet,NumberOfPoliciesOfPolicyholder,FpVehicleAgeMonths,EasinessToStage,ClaimWihoutIdentifiedThirdParty,ClaimAmount,PolicyHolderAge,NumberOfBodilyInjuries,FirstPartyLiability,Fraud,ClaimInvolvedCovers_MaterialDamages,ClaimInvolvedCovers_ActLiability,ClaimInvolvedCovers_Windscreen,ClaimInvolvedCovers_Accessories,ClaimInvolvedCovers_ThirdParty,ClaimInvolvedCovers_Theft,ClaimInvolvedCovers_ThirdPartyMaterialDamages,ClaimInvolvedCovers_Burglary,ClaimInvolvedCovers_NaturalCatastrophes,ClaimInvolvedCovers_MedicalCare,ClaimInvolvedCovers_ReplacementVehicle,ClaimInvolvedCovers_Fire,ClaimInvolvedCovers_RiderClothes,Date_diff,LH_0-3,LH_12-15,LH_16-19,LH_20-23,LH_4-7,LH_8-11,CBP_NoConnection,CBP_SameAddress,CBP_SameBankAccount,CBP_SameEmail,CBP_SamePhone,CBP_SamePolice,PO_CivilServant,PO_Employee,PO_Executive,PO_Farmer,PO_HeadOfCompany,PO_Merchant,PO_Retired,PO_SelfEmployed,PO_Student,PO_Unemployed,PO_Worker,CC_AccidentOrCollision,CC_AccidentWithIdentifiedThirdParty,CC_AccidentWithUnidentifiedThirdParty,CC_CollisionWithAnimal,CC_CollisionWithPedestrian,CC_Fire,CC_Flood,CC_ForcesOfNature,CC_Hail,CC_LegalProtection,CC_LossOfControl,CC_MultiVehicleCrash,CC_Storm,CC_TheftAttempt,CC_TheftOfExteriorElements,CC_TotalTheft,CC_Vandalism,CC_WindscreenDamage,DI_Medium,DI_Negligible,DI_TotalLoss,FPVT_Car,FPVT_Caravan,FPVT_Motorcycle,FPVT_PrivateCar
51,0,4,134.0,0.25,1,0.0,33.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,223,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
52,0,2,116.0,0.5,1,1664.07,30.0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,64,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
53,0,2,180.0,0.5,1,2882.51,34.0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,398,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
54,0,3,8.0,0.5,1,0.0,25.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,260,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
55,0,4,190.0,0.25,0,736.43,47.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,666,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
56,0,3,47.0,0.25,0,0.0,38.0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
57,0,1,91.0,0.5,1,1992.95,29.0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
58,0,6,127.0,0.25,1,0.0,46.0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
59,0,4,38.0,0.5,1,303.22,27.0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,106,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
60,0,3,244.0,0.5,1,355.5,64.0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,609,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
61,1,1,165.0,0.15,0,1340.46,21.0,0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,57,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
62,1,1,0.0,0.25,0,340.5,32.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
63,0,1,149.0,0.25,0,1482.0,63.0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,398,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
64,0,1,173.0,0.25,0,5010.5,77.0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,91,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
65,0,4,85.0,0.5,1,423.53,51.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,374,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
66,0,2,214.0,0.25,0,808.43,48.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,674,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
67,0,1,124.0,0.25,0,296.22,52.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
68,1,1,118.0,0.25,0,1663.18,24.0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,177,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
69,0,7,118.0,0.5,1,150.48,52.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,174,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
